"X1","X2","X3","X4"
"pos_virus","temp_monthavg_0weeklag_C","heavyrain_0weeklag","Spatial gam fit successfully"
"pos_virus","temp_monthavg_0weeklag_C","heavyrain_0weeklag_90","Spatial gam fit successfully"
"pos_virus","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_median","Spatial gam fit successfully"
"pos_virus","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_75","Spatial gam fit successfully"
"pos_virus","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_90","Spatial gam fit successfully"
"pos_parasite","temp_monthavg_0weeklag_C","heavyrain_0weeklag","Spatial gam fit successfully"
"pos_parasite","temp_monthavg_0weeklag_C","heavyrain_0weeklag_90","Spatial gam fit successfully"
"pos_parasite","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_median","Spatial gam fit successfully"
"pos_parasite","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_75","Spatial gam fit successfully"
"pos_parasite","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_90","Spatial gam fit successfully"
"pos_EAEC","temp_monthavg_0weeklag_C","heavyrain_0weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_monthavg_0weeklag_C","heavyrain_0weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_ETEC_any","temp_monthavg_0weeklag_C","heavyrain_0weeklag","Spatial gam fit successfully"
"pos_ETEC_any","temp_monthavg_0weeklag_C","heavyrain_0weeklag_90","Non-spatial GAM failed to converge"
"pos_ETEC_any","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_median","Spatial gam fit successfully"
"pos_ETEC_any","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_75","Non-spatial GAM failed to converge"
"pos_ETEC_any","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_90","Non-spatial GAM failed to converge"
"pos_EPEC_any","temp_monthavg_0weeklag_C","heavyrain_0weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_monthavg_0weeklag_C","heavyrain_0weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_monthavg_0weeklag_C","heavyrain_0weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_monthavg_0weeklag_C","heavyrain_0weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_monthavg_0weeklag_C","ppt_week_sum_0weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
