"X1","X2","X3","X4"
"pos_Aeromonas","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_B.fragilis","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Campylobacter","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_C.difficile","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Plesiomonas","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Shigella_EIEC","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Adenovirus40_41","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Norovirus","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Sapovirus","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Cryptosporidium","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_E.bieneusi","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Giardia","temp_weekmax_3weeklag_median","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_virus","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_parasite","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EAEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ST_ETEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ETEC_any","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_LT_ETEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EPEC_any","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_aEPEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_tEPEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_STEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_B.fragilis","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Campylobacter","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_C.difficile","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Plesiomonas","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Shigella_EIEC","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Adenovirus40_41","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Norovirus","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Sapovirus","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Cryptosporidium","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_E.bieneusi","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Giardia","ppt_week_sum_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_virus","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_parasite","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EAEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ST_ETEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ETEC_any","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_LT_ETEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EPEC_any","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_aEPEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_tEPEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_STEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Aeromonas","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_B.fragilis","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Campylobacter","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_C.difficile","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Plesiomonas","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Shigella_EIEC","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Adenovirus40_41","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Norovirus","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Sapovirus","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Cryptosporidium","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_E.bieneusi","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Giardia","ppt_week_sum_1weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_virus","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_parasite","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EAEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ST_ETEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ETEC_any","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_LT_ETEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EPEC_any","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_aEPEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_tEPEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_STEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Aeromonas","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_B.fragilis","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Campylobacter","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_C.difficile","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Plesiomonas","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Shigella_EIEC","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Adenovirus40_41","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Norovirus","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Sapovirus","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Cryptosporidium","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_E.bieneusi","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Giardia","ppt_week_sum_2weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_virus","ppt_week_sum_3weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_parasite","ppt_week_sum_3weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EAEC","ppt_week_sum_3weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_ST_ETEC","ppt_week_sum_3weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ETEC_any","ppt_week_sum_3weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
