"X1","X2","X3","X4"
"pos_virus","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Spatial gam fit successfully"
"pos_virus","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Spatial gam fit successfully"
"pos_virus","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Spatial gam fit successfully"
"pos_virus","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Spatial gam fit successfully"
"pos_virus","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial GAM failed to converge"
"pos_parasite","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Spatial gam fit successfully"
"pos_parasite","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Spatial gam fit successfully"
"pos_parasite","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Spatial gam fit successfully"
"pos_parasite","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Spatial gam fit successfully"
"pos_parasite","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Spatial gam fit successfully"
"pos_EAEC","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EAEC","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_ETEC_any","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Spatial gam fit successfully"
"pos_ETEC_any","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Spatial gam fit successfully"
"pos_ETEC_any","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Spatial gam fit successfully"
"pos_ETEC_any","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Spatial gam fit successfully"
"pos_ETEC_any","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial GAM failed to converge"
"pos_EPEC_any","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_EPEC_any","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_STEC","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_B.fragilis","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Spatial gam fit successfully"
"pos_B.fragilis","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Spatial gam fit successfully"
"pos_B.fragilis","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Spatial gam fit successfully"
"pos_B.fragilis","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Spatial gam fit successfully"
"pos_B.fragilis","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial GAM failed to converge"
"pos_Campylobacter","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Spatial gam fit successfully"
"pos_Campylobacter","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Spatial gam fit successfully"
"pos_Campylobacter","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_median","Spatial gam fit successfully"
"pos_Campylobacter","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_75","Spatial gam fit successfully"
"pos_Campylobacter","temp_weekavg_2weeklag_C","ppt_week_sum_2weeklag_90","Non-spatial GAM failed to converge"
"pos_C.difficile","temp_weekavg_2weeklag_C","heavyrain_2weeklag","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_C.difficile","temp_weekavg_2weeklag_C","heavyrain_2weeklag_90","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
