"X1","X2","X3","X4"
"pos_virus","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_parasite","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EAEC","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_ETEC_any","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_ST_ETEC","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_LT_ETEC","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_EPEC_any","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_aEPEC","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_tEPEC","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_STEC","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_Aeromonas","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Non-spatial gam fit successfully, no spatial autocorrelation detected so no spatial gam fit"
"pos_B.fragilis","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_Campylobacter","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
"pos_C.difficile","temp_monthavg_0weeklag_C","c(\sex\, \aged_C\, \HHwealth_quart\, \wsh\, \nutrition\, \abx_7d\)","Spatial gam fit successfully"
