"Temperature variable","Precipitation variable","model","formula","7-day Diarrhea","Adenovirus 40/41","Norovirus","Sapovirus","Any Virus","Cryptosporidium","E. bieneusi","Giardia","Any Parasite","Aeromonas","B. fragilis","Campylobacter","C. difficile","Plesiomonas","Shigella/EIEC","EAEC","EPEC","ETEC","STEC"
"temp_weekavg_0weeklag_C","   NA","temp + A","Y ~ temp_weekavg_0weeklag_C"," NA","720.89","1331.51","1041.23","1964.85","1057.53","936.86","1119.53","1957.17","642.42","1589.12","2272.31","874.28","1215.25","1154.60","2697.74","2395.08","2079.76","997.98"
"temp_weekavg_0weeklag_C","   heavyrain_0weeklag","temp + ppt + A","Y ~ temp_weekavg_0weeklag_C + heavyrain_0weeklag"," NA","719.17","1333.42","1041.91","1966.81","1053.63","935.81","1121.45","1956.53","640.45","1590.69","2274.30","870.16","1217.17","1147.47","2698.52","2391.58","2075.93","998.60"
"temp_weekavg_0weeklag_C","   heavyrain_0weeklag","temp + ppt + temp*ppt + A","Y ~ temp_weekavg_0weeklag_C + heavyrain_0weeklag + temp_weekavg_0weeklag_C*heavyrain_0weeklag"," NA","723.17","1329.16","1044.21","1967.71","1057.63","939.20","1124.97","1960.53","644.45","1594.69","2278.30","874.16","1221.17","1149.96","2702.52","2395.58","2076.60","1001.36"
"temp_weekavg_0weeklag_C","   heavyrain_0weeklag_90","temp + ppt + A","Y ~ temp_weekavg_0weeklag_C + heavyrain_0weeklag_90"," NA","722.37","1332.48","1043.13","1965.82","1057.61","931.39","1120.34","1959.04","644.33","1584.55"," NA","875.68"," NA","1152.63","2698.53","2391.77"," NA","998.05"
"temp_weekavg_0weeklag_C","   heavyrain_0weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_weekavg_0weeklag_C + heavyrain_0weeklag_90 + temp_weekavg_0weeklag_C*heavyrain_0weeklag_90"," NA","726.38","1336.48","1046.85","1969.19","1061.61","935.39","1124.34","1963.04","644.69","1588.55"," NA","879.68"," NA","1153.79","2702.53","2395.77"," NA","1001.65"
"temp_weekavg_0weeklag_C","   ppt_week_sum_0weeklag_75","temp + ppt + A","Y ~ temp_weekavg_0weeklag_C + ppt_week_sum_0weeklag_75"," NA","716.17","1333.13","1043.22","1964.99","1058.30","931.36","1121.35","1959.04","640.63","1582.73"," NA","875.87"," NA","1153.50","2699.28","2391.96"," NA","999.01"
"temp_weekavg_0weeklag_C","   ppt_week_sum_0weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_weekavg_0weeklag_C + ppt_week_sum_0weeklag_75 + temp_weekavg_0weeklag_C*ppt_week_sum_0weeklag_75"," NA","721.67","1337.13","1045.77","1967.08","1062.30","935.36","1125.35","1963.04","644.44","1586.73"," NA","879.87"," NA","1157.32","2703.28","2395.96"," NA","1001.96"
"temp_weekavg_0weeklag_C","   ppt_week_sum_0weeklag_90","temp + ppt + A","Y ~ temp_weekavg_0weeklag_C + ppt_week_sum_0weeklag_90"," NA","719.96","1332.03","1043.05","1965.63","1057.60","931.25","1121.52","1959.07","644.41","1583.24"," NA","873.54"," NA","1154.92","2698.81","2391.70"," NA","997.66"
"temp_weekavg_0weeklag_C","   ppt_week_sum_0weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_weekavg_0weeklag_C + ppt_week_sum_0weeklag_90 + temp_weekavg_0weeklag_C*ppt_week_sum_0weeklag_90"," NA","723.96","1336.55","1046.25","1969.54","1061.29","935.25","1125.40","1963.07","648.14","1587.24"," NA","877.52"," NA","1158.37","2702.81","2395.70"," NA","1000.96"
"temp_weekavg_0weeklag_C","   ppt_week_sum_0weeklag_median","temp + ppt + A","Y ~ temp_weekavg_0weeklag_C + ppt_week_sum_0weeklag_median"," NA","722.31","1330.01","1037.57","1960.81","1056.89","934.76","1120.37","1959.12","639.33","1591.03","2271.88","869.98","1216.31","1153.62","2698.06","2391.95","2080.68","995.91"
"temp_weekavg_0weeklag_C","   ppt_week_sum_0weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_weekavg_0weeklag_C + ppt_week_sum_0weeklag_median + temp_weekavg_0weeklag_C*ppt_week_sum_0weeklag_median"," NA","722.15","1329.40","1041.57","1962.58","1060.75","932.91","1124.37","1963.12","643.33","1587.46","2275.88","873.98","1220.31","1156.61","2702.06","2395.95","2082.50","999.81"
"temp_weekavg_1weeklag_C","   NA","temp + A","Y ~ temp_weekavg_1weeklag_C","3729.32","722.47","1331.77","1047.23","1965.90","1055.85","935.16","1119.32","1957.17","635.29","1589.12","2272.31","874.24","1215.25","1153.61","2697.67","2395.08","2077.10","996.14"
"temp_weekavg_1weeklag_C","   heavyrain_1weeklag","temp + ppt + A","Y ~ temp_weekavg_1weeklag_C + heavyrain_1weeklag","3731.15","723.64","1326.72","1039.63","1964.21","1054.34","934.44","1121.32","1958.93","636.50","1591.05","2273.91","870.25","1216.41","1155.37","2704.49","2391.95","2077.61","998.07"
